X,Y,OBJECTID,Reported_Date,Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,Reported_Day,Reported_Month,Reported_Year,Date_Reported
-113.5121346,53.54459291,9967,2022/08/23 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,103 AV/111 ST,23,8,2022,23-08-2022
-113.4330698,53.4218761,9968,2022/08/23 12:00:00+00,Non-Violent,Property,Internet Fraud,12 AV SW/13 AV SW,23,8,2022,23-08-2022
-113.5850537,53.54326829,9969,2022/08/23 12:00:00+00,Disorder,General Disorder,Trouble with Person,102 AV/153 ST,23,8,2022,23-08-2022
-113.6185171,53.42780387,9970,2022/08/23 12:00:00+00,Non-Violent,Property,Fraud - Financial,173 ST SW/173 ST SW,23,8,2022,23-08-2022
-113.4956776,53.42153941,9971,2022/08/23 12:00:00+00,Violent,Personal Violence,Assault,103A ST SW/103A ST SW,23,8,2022,23-08-2022
-113.4491585,53.57038255,9972,2022/08/23 12:00:00+00,Disorder,General Disorder,Trouble with Person,118 AV/70 ST,23,8,2022,23-08-2022
-113.6102915,53.54509538,9973,2022/08/23 12:00:00+00,Disorder,Disputes/Disturbances,Dispute,102B AV/167 ST,23,8,2022,23-08-2022
-113.5108315,53.51387072,9974,2022/08/23 12:00:00+00,Non-Violent,Property,Theft Under $5000,110 ST/UNIVERSITY AV,23,8,2022,23-08-2022
-113.4476297,53.60269032,9975,2022/08/23 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,140 AV/69 ST,23,8,2022,23-08-2022
-113.4920079,53.54104592,9976,2022/08/23 12:00:00+00,Non-Violent,Property,Theft Under $5000,100A ST/JASPER AV,23,8,2022,23-08-2022
-113.369077,53.43667143,9977,2022/08/23 12:00:00+00,Weapons,Weapons Violations,Weapons Complaint,ANTHONY HENDAY DR/17 ST,23,8,2022,23-08-2022
-113.613518,53.54485348,9978,2022/08/23 12:00:00+00,Non-Violent,Property,Theft Under $5000,103 AV/MAYFIELD COMMON RD,23,8,2022,23-08-2022
-113.582528,53.4081044,9979,2022/08/23 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,COUGHLAN GR SW/COUGHLAN GR SW,23,8,2022,23-08-2022
-113.4790862,53.55226504,9980,2022/08/22 12:00:00+00,Non-Violent,Property,Break and Enter Residential,93 ST/95 ST,22,8,2022,22-08-2022
-113.4781397,53.55299183,9981,2022/08/22 12:00:00+00,Non-Violent,Property,Break and Enter Residential,106A AV/92 ST,22,8,2022,22-08-2022
-113.4835601,53.63015627,9982,2022/08/22 12:00:00+00,Violent,Personal Violence,Assault,168 AV/92 ST,22,8,2022,22-08-2022
-113.4957342,53.48808621,9983,2022/08/22 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,51 AV/51 AV,22,8,2022,22-08-2022
-113.453851,53.51902842,9984,2022/08/22 12:00:00+00,Violent,Personal Violence,Robbery Commercial,83 AV/83 AV,22,8,2022,22-08-2022
-113.5042119,53.62002425,9985,2022/08/22 12:00:00+00,Violent,Personal Violence,Assault,BEAUMARIS RD/STIRLING RD,22,8,2022,22-08-2022
-113.3822816,53.57891438,9986,2022/08/22 12:00:00+00,Non-Violent,Property,Possession Stolen Property,VICTORIA TR/VICTORIA TR,22,8,2022,22-08-2022
-113.5868077,53.53046179,9987,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Over $5000,154 ST/94A AV,22,8,2022,22-08-2022
-113.4940863,53.51997943,9988,2022/08/22 12:00:00+00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,102 ST/84 AV,22,8,2022,22-08-2022
-113.4960708,53.45531469,9989,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,24 AV/104 ST,22,8,2022,22-08-2022
-113.4733541,53.47212349,9990,2022/08/22 12:00:00+00,Non-Violent,Property,Internet Fraud,37 AV/93 ST,22,8,2022,22-08-2022
-113.5136336,53.59582706,9991,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,112 ST/134A AV,22,8,2022,22-08-2022
-113.5394726,53.56207365,9992,2022/08/22 12:00:00+00,Non-Violent,Property,Break and Enter Residential,126 ST/113 AV,22,8,2022,22-08-2022
-113.5132194,53.53196996,9993,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,FORTWAY DR/RIVER VALLEY RD,22,8,2022,22-08-2022
-113.442981,53.57831674,9994,2022/08/22 12:00:00+00,Disorder,General Disorder,Trouble with Person,66 ST/YELLOWHEAD TR,22,8,2022,22-08-2022
-113.6205648,53.54136975,9995,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,STONY PLAIN RD/175 ST,22,8,2022,22-08-2022
-113.4937201,53.54867901,9996,2022/08/22 12:00:00+00,Other,Provincial Statute Violations,Liquor Act,101 ST/105A AV,22,8,2022,22-08-2022
-113.5004585,53.51613419,9997,2022/08/22 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,105 ST/80 AV,22,8,2022,22-08-2022
-113.5248181,53.45759189,9998,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,113 ST/25 AV,22,8,2022,22-08-2022
-113.485965,53.46805247,9999,2022/08/22 12:00:00+00,Disorder,General Disorder,Trespassing,34 AV/99 ST,22,8,2022,22-08-2022
-113.393711,53.568823,10000,2022/08/22 12:00:00+00,Disorder,General Disorder,Suspicious Person,116A AV/34 ST,22,8,2022,22-08-2022
-113.4329847,53.61455057,10001,2022/08/22 12:00:00+00,Non-Violent,Property,Fraud - Financial,152B AV/59B ST,22,8,2022,22-08-2022
-113.4284846,53.54032416,10002,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,100 AV/62 ST,22,8,2022,22-08-2022
-113.4381993,53.59225708,10003,2022/08/22 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,63 ST/132 AV,22,8,2022,22-08-2022
-113.4062337,53.51943735,10004,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,42 ST/84 AV,22,8,2022,22-08-2022
-113.4887056,53.51905394,10005,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,100 ST/83 AV,22,8,2022,22-08-2022
-113.437915,53.51049937,10006,2022/08/22 12:00:00+00,Non-Violent,Property,Fraud General,ARGYLL RD/ARGYLL RD,22,8,2022,22-08-2022
-113.495762,53.41950373,10007,2022/08/22 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,103A ST SW/103A ST SW,22,8,2022,22-08-2022
-113.4033736,53.58871576,10008,2022/08/22 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,133 AV/HARROW CI,22,8,2022,22-08-2022
-113.4395913,53.49348064,10009,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,ROPER RD/ROPER RD,22,8,2022,22-08-2022
-113.5155316,53.44346299,10010,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,106 ST/RUNNING CREEK RD,22,8,2022,22-08-2022
-113.4636636,53.57355843,10011,2022/08/22 12:00:00+00,Disorder,Disputes/Disturbances,Dispute,120 AV/80 ST,22,8,2022,22-08-2022
-113.5513032,53.6227596,10012,2022/08/22 12:00:00+00,Disorder,Provincial Statute Violations,Intoxicated Person,131A ST/131A ST,22,8,2022,22-08-2022
-113.5156224,53.45382227,10013,2022/08/22 12:00:00+00,Violent,Personal Violence,Assault,111 ST/23 AV,22,8,2022,22-08-2022
-113.4976208,53.51807427,10014,2022/08/22 12:00:00+00,Weapons,Weapons Violations,Weapons Complaint,104 ST/82 AV,22,8,2022,22-08-2022
-113.5376689,53.54301991,10015,2022/08/22 12:00:00+00,Non-Violent,Property,Break and Enter Residential,102 AV/125 ST,22,8,2022,22-08-2022
-113.6208632,53.53113184,10016,2022/08/22 12:00:00+00,Weapons,Explosives/Dangerous Goods,Bomb Threat,174 ST/95 AV,22,8,2022,22-08-2022
-113.5042119,53.62002425,10017,2022/08/22 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,BEAUMARIS RD/STIRLING RD,22,8,2022,22-08-2022
-113.6224408,53.52675646,10018,2022/08/22 12:00:00+00,Disorder,General Disorder,Trespassing,175 ST/175 ST,22,8,2022,22-08-2022
-113.4688116,53.5673496,10019,2022/08/22 12:00:00+00,Weapons,Weapons Violations,Weapons Complaint Firearm,116 AV/83 ST,22,8,2022,22-08-2022
-113.5751254,53.42875054,10020,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,ANTHONY HENDAY DR/ANTHONY HENDAY DR,22,8,2022,22-08-2022
-113.5159998,53.61423679,10021,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,153 AV/153 AV,22,8,2022,22-08-2022
-113.6301116,53.52375954,10022,2022/08/22 12:00:00+00,Non-Violent,Property,Fraud General,178 ST/89 AV,22,8,2022,22-08-2022
-113.5245201,53.52801581,10023,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,NOT NAMED RD/NOT NAMED RD,22,8,2022,22-08-2022
-113.6185876,53.43686257,10024,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,WINDERMERE WY SW/WINDERMERE WY SW,22,8,2022,22-08-2022
-113.4614755,53.64484495,10025,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,182 AV/77 ST,22,8,2022,22-08-2022
-113.5219636,53.40061162,10026,2022/08/22 12:00:00+00,Disorder,General Disorder,Trouble with Person,ALLARD BV SW/ALLARD LK SW,22,8,2022,22-08-2022
-113.5442176,53.3974302,10027,2022/08/22 12:00:00+00,Non-Violent,Property,Internet Fraud,DANIELS LK SW/DANIELS WY SW,22,8,2022,22-08-2022
-113.5349369,53.59948949,10028,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,123A ST/137 AV,22,8,2022,22-08-2022
-113.5349369,53.59948949,10029,2022/08/22 12:00:00+00,Non-Violent,Property,Theft Under $5000,123A ST/137 AV,22,8,2022,22-08-2022
-113.5194803,53.54980625,10030,2022/08/22 12:00:00+00,Non-Violent,Property,Break and Enter Residential,106 AV/115 ST,22,8,2022,22-08-2022
-113.4826386,53.55216977,10031,2022/08/21 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,106A AV/95 ST,21,8,2022,21-08-2022
-113.508434,53.55141033,10032,2022/08/21 12:00:00+00,Violent,Personal Violence,Assault,107 AV/109 ST,21,8,2022,21-08-2022
-113.5102733,53.5514181,10033,2022/08/21 12:00:00+00,Disorder,Disputes/Disturbances,Disturbance,107 AV/110 ST,21,8,2022,21-08-2022
-113.488676,53.52266358,10034,2022/08/21 12:00:00+00,Non-Violent,Property,Break and Enter Residential,100 ST/87 AV,21,8,2022,21-08-2022
-113.5065827,53.54622729,10035,2022/08/21 12:00:00+00,Non-Violent,Property,Fraud General,104 AV/108 ST,21,8,2022,21-08-2022
-113.5323553,53.54461322,10036,2022/08/21 12:00:00+00,Disorder,General Disorder,Trouble with Person,103 AV/122 ST,21,8,2022,21-08-2022
-113.5324677,53.56684527,10037,2022/08/21 12:00:00+00,Drugs,Drug Violations,Drugs,116 AV/122 ST,21,8,2022,21-08-2022
-113.4033928,53.59663802,10038,2022/08/21 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,135 AV/41 ST,21,8,2022,21-08-2022
-113.4064348,53.59787685,10039,2022/08/21 12:00:00+00,Non-Violent,Property,Theft Under $5000,42 ST/42 ST,21,8,2022,21-08-2022
-113.3948004,53.48300199,10040,2022/08/21 12:00:00+00,Disorder,General Disorder,Suspicious Vehicle,35 ST/44 AV,21,8,2022,21-08-2022
-113.5120329,53.50941904,10041,2022/08/21 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,109 ST/73 AV,21,8,2022,21-08-2022
-113.5208576,53.52289916,10042,2022/08/21 12:00:00+00,Disorder,General Disorder,Trouble with Person,112 ST/87 AV,21,8,2022,21-08-2022
-113.4850122,53.54987095,10043,2022/08/21 12:00:00+00,Violent,Personal Violence,Assault,105A AV/96 ST,21,8,2022,21-08-2022
-113.4935391,53.62677411,10044,2022/08/21 12:00:00+00,Non-Violent,Property,Break and Enter Residential,164 AV/98 ST,21,8,2022,21-08-2022
-113.4292217,53.59338042,10045,2022/08/21 12:00:00+00,Disorder,Disputes/Disturbances,Disturbance,133 AV/FORT RD,21,8,2022,21-08-2022
-113.4862888,53.55248907,10046,2022/08/21 12:00:00+00,Non-Violent,Property,Break and Enter Residential,107 AV/96 ST,21,8,2022,21-08-2022
-113.4418663,53.47015971,10047,2022/08/21 12:00:00+00,Disorder,General Disorder,Trouble with Person,LEE RIDGE RD/36A AV,21,8,2022,21-08-2022
-113.4498638,53.4742166,10048,2022/08/21 12:00:00+00,Disorder,General Disorder,Trouble with Person,38 AV/76 ST,21,8,2022,21-08-2022
-113.4182846,53.58554361,10049,2022/08/21 12:00:00+00,Disorder,Provincial Statute Violations,Intoxicated Person,50 ST/127 AV,21,8,2022,21-08-2022
-113.5121112,53.54093766,10050,2022/08/21 12:00:00+00,Violent,Personal Violence,Assault,111 ST/JASPER AV,21,8,2022,21-08-2022
-113.6705453,53.52375115,10051,2022/08/21 12:00:00+00,Non-Violent,Property,Theft Under $5000,WEBBER GREENS DR/WEBBER GREENS DR,21,8,2022,21-08-2022
-113.4426096,53.42059228,10052,2022/08/21 12:00:00+00,Non-Violent,Property,Theft Over $5000,66 ST SW/WELSH DR SW,21,8,2022,21-08-2022
